spec_label,n_seeds,ndcg_mean,ndcg_std,recall_mean,recall_std,mrr_mean,mrr_std,map_mean,map_std
"product_quantize(n_subspaces=4,n_bits=4)",5,0.053631,0.011281,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=6)",5,0.149189,0.010604,0,0,0,0,0,0
"product_quantize(n_subspaces=4,n_bits=8)",5,0.254374,0.005317,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=4)",5,0.089153,0.006224,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=6)",5,0.188045,0.004612,0,0,0,0,0,0
"product_quantize(n_subspaces=8,n_bits=8)",5,0.271113,0.003961,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=4)",5,0.132405,0.002838,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=6)",5,0.221805,0.008511,0,0,0,0,0,0
"product_quantize(n_subspaces=16,n_bits=8)",5,0.292979,0.006224,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=4)",5,0.206731,0.006371,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=6)",5,0.285091,0.006085,0,0,0,0,0,0
"product_quantize(n_subspaces=32,n_bits=8)",5,0.330052,0.004991,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=4)",5,0.291296,0.005464,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=6)",5,0.333013,0.002428,0,0,0,0,0,0
"product_quantize(n_subspaces=64,n_bits=8)",5,0.358381,0.006317,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=4)",5,0.146952,0.010543,0,0,0,0,0,0
"opq(n_subspaces=4,n_bits=8)",5,0.299997,0.005755,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=4)",5,0.213617,0.009671,0,0,0,0,0,0
"opq(n_subspaces=8,n_bits=8)",5,0.326871,0.005679,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=4)",5,0.288609,0.007944,0,0,0,0,0,0
"opq(n_subspaces=16,n_bits=8)",5,0.344495,0.007303,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=4)",5,0.334570,0.004770,0,0,0,0,0,0
"opq(n_subspaces=32,n_bits=8)",5,0.366582,0.003900,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=4)",5,0.356032,0.004196,0,0,0,0,0,0
"opq(n_subspaces=64,n_bits=8)",5,0.376406,0.002677,0,0,0,0,0,0
