backbone,dataset,ndcg_identity,delta,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_tost_eps0.01,equiv_eps0.01,equiv_eps0.005
bge-base,arguana,0.4559,-0.00016,-0.00062,+0.00028,-0.00054,+0.00021,0.00e+00,1,1
bge-base,fiqa,0.4062,-0.00033,-0.00191,+0.00087,-0.00150,+0.00084,0.00e+00,1,1
bge-base,nfcorpus,0.3752,-0.00007,-0.00080,+0.00061,-0.00066,+0.00052,0.00e+00,1,1
bge-base,scifact,0.7416,+0.00096,-0.00080,+0.00369,-0.00092,+0.00285,1.55e-15,1,1
e5-base,arguana,0.3293,-0.00059,-0.00161,+0.00033,-0.00141,+0.00022,0.00e+00,1,1
e5-base,fiqa,0.3986,+0.00148,-0.00025,+0.00350,-0.00009,+0.00306,0.00e+00,1,1
e5-base,nfcorpus,0.3549,+0.00057,-0.00007,+0.00131,-0.00001,+0.00115,0.00e+00,1,1
e5-base,scifact,0.7196,+0.00024,-0.00073,+0.00165,-0.00076,+0.00124,0.00e+00,1,1
gte-base,arguana,0.4167,-0.00007,-0.00083,+0.00069,-0.00071,+0.00056,0.00e+00,1,1
gte-base,fiqa,0.4075,-0.00060,-0.00181,+0.00039,-0.00153,+0.00032,0.00e+00,1,1
gte-base,nfcorpus,0.3799,+0.00030,-0.00006,+0.00092,-0.00011,+0.00071,0.00e+00,1,1
gte-base,scifact,0.7618,-0.00006,-0.00016,+0.00000,-0.00012,+0.00001,0.00e+00,1,1
mxbai-large,arguana,0.4674,-0.00001,-0.00048,+0.00060,-0.00046,+0.00045,0.00e+00,1,1
mxbai-large,fiqa,0.4529,+0.00054,+0.00001,+0.00110,+0.00008,+0.00099,0.00e+00,1,1
mxbai-large,nfcorpus,0.3880,-0.00026,-0.00094,+0.00018,-0.00073,+0.00021,0.00e+00,1,1
mxbai-large,scifact,0.7389,-0.00014,-0.00060,+0.00023,-0.00049,+0.00020,0.00e+00,1,1
